^distrito^cod_distrito
0^CENTRO^1
2^CARABANCHEL^11
8^LATINA^10
12^USERA^12
16^MONCLOA-ARAVACA^9
21^MORATALAZ^14
30^SALAMANCA^4
31^VILLA DE VALLECAS^18
35^VILLAVERDE^17
42^CHAMBERÍ^7
50^CHAMARTÍN^5
66^HORTALEZA^16
69^CIUDAD LINEAL^15
76^RETIRO^3
80^FUENCARRAL-EL PARDO^8
94^VICÁLVARO^19
103^PUENTE DE VALLECAS^13
124^BARAJAS^21
129^ARGANZUELA^2
210^TETUÁN^6
274^SAN BLAS-CANILLEJAS^20
