distrito^cod_distrito
CENTRO^1
CARABANCHEL^11
LATINA^10
USERA^12
MONCLOA-ARAVACA^9
MORATALAZ^14
SALAMANCA^4
VILLA DE VALLECAS^18
VILLAVERDE^17
CHAMBERÍ^7
CHAMARTÍN^5
HORTALEZA^16
CIUDAD LINEAL^15
RETIRO^3
FUENCARRAL-EL PARDO^8
VICÁLVARO^19
PUENTE DE VALLECAS^13
BARAJAS^21
ARGANZUELA^2
TETUÁN^6
SAN BLAS-CANILLEJAS^20
